source	date	quote	quote_lemmatized	values	values_minimal
1	20151215	 Amnesty International bezweifelt, dass eine solche vorgelegen habe und ruft die Behörden auf, den Festgenommenen ein faires Asylverfahren zu gewähren.	  Amnesty International bezweifeln Vorgeleg rufen Behörde festgenommener fair Asylverfahren gewähren 	['800', '801']	{'8'}
1	20150126	"Gefordert werden ein Burka-Verbot, die strikte Begrenzung der Einwanderung in die Schweiz sowie  ""eine Null-Toleranz-Politik""  gegenüber straffällig gewordenen Asylbewerbern durch ihre  ""schnelle Abschiebung"" ."	fordern Burka-Verbot strikt Begrenzung Einwanderung Schweiz sowie   Null-Toleranz-Politik   gegenüber straffällig geworden Asylbewerber   schnell Abschiebung 	['100', '102', '200', '207', '800', '812']	{'8', '2', '1'}
1	20150225	Wenn der Staat das nicht will, soll er seine Arbeit besser machen und diesen Menschen Schutz gewähren.	Staat sollen Arbeit gut Mensch Schutz gewähren 	['400', '402']	{'4'}
1	20150122	Zweitens heißt es, dem Rassismus und der Demokratieverachtung durch Aufklärungsarbeit und breite Bündnisse entgegenzutreten.	zweitens heißen Rassismus Demokratieverachtung Aufklärungsarbeit breit Bündnis entgegenzutreten 	['700', '706']	{'7'}
1	20151007	"Laut Gesetz müssen sie aber zunächst in einer Erstaufnahmeeinrichtung untergebracht werden. Diese Vorgabe nennt Burkhardt ein  ""integrationspolitisches Desaster"" ."	laut Gesetz müssen zunächst Erstaufnahmeeinrichtung unterbringen Vorgabe nennen Burkhardt   integrationspolitisch Desaster 	['200', '201']	{'2'}
1	20150202	Damit will sie die Zuwanderung je nach Arbeitskräftebedarf, Sprachkenntnissen und Ausbildung steuern.	Zuwanderung je Arbeitskräftebedarf Sprachkenntnisse Ausbildung steuern 	['100', '101']	{'1'}
1	20150918	Der Entwurf enthält zahlreiche Ideen zur Leistungskürzung. Darunter befindet sich auch der Vorschlag, dass Flüchtlinge, die über EU-Staaten eingereist waren und gemäß der Dublin-Regelung dorthin zurückgeschickt werden, nur Sachleistungen für den Reisebedarf – etwa Fahrkarte und Proviant – erhalten sollen.	Entwurf enthalten zahlreich Idee Leistungskürzung darunter befinden Vorschlag Flüchtling EU-Staat einreisen gemäß Dublin-Regelung dorthin zurückschicken Sachleistung Reisebedarf etwa Fahrkarte Proviant erhalten sollen 	['200', '212']	{'2'}
1	20151216	Opposition und Flüchtlingsvertreter fordern sie schon lange, nun soll sie endlich kommen: die elektronische Gesundheitskarte für Asylbewerber.	Opposition Flüchtlingsvertreter fordern schon lange sollen endlich kommen elektronisch Gesundheitskart Asylbewerber 	['300', '309']	{'3'}
1	20151216	Linke und Grüne, die die Neuerung grundsätzlich begrüßen, kritisierten, dass Flüchtlinge weiterhin nicht alle Leistungen der Kassen, die gesetzlich Versicherten zustehen, bekommen.	linke grüne Neuerung grundsätzlich begrüßen kritisieren Flüchtling weiterhin Leistung Kasse gesetzlich versicherter zustehen bekommen 	['300', '309']	{'3'}
1	20151216	Ab dem neuen Jahr sollen zunächst alle Flüchtlinge, die in der neuen Erstregistrierungsstelle Bundesallee erfasst werden, die Karte erhalten, erklärte am Mittwoch Sozialsenator Mario Czaja (CDU).	ab neu Jahr sollen zunächst Flüchtling neu Erstregistrierungsstelle Bundesallee erfasst Karte erhalten erklären Mittwoch Sozialsenator Mario Czaja CDU 	['300', '309']	{'3'}
1	20151216	Dennoch hatte sich Czaja lange gegen die Einführung der  elektronischen Karte gewehrt mit dem Argument, sie führe zu höheren Kosten.	dennoch Czaja lange Einführung   elektronisch Karte wehren Argument führen hoch Kosten 	['300', '309']	{'3'}
1	20150831	"Bundeskanzlerin Angela Merkel (CDU) wurde für ihr jüngstes Eintreten für Flüchtlinge –  ""Wir schaffen das""  – dagegen abgestraft."	Bundeskanzlerin Angela Merkel CDU jüngstes eintreten Flüchtling   schaffen   dagegen abstrafen 	['100', '700', '705']	{'7', '1'}
1	20151229	Es ist Aufgabe der regierenden Politik sich klar und deutlich hinter die Helfenden und Antirassisten zu stellen.	Aufgabe regierend Politik klar deutlich Helfende Antirassist stellen 	['700', '800', '802', '705']	{'8', '7'}
1	20150909	"Abgelehnte Asylbewerber werde Deutschland in Zukunft  ""schneller und konsequenter""  als bislang abschieben."	abgelehnt Asylbewerber Deutschland Zukunft   schnell konsequent   bislang abschieben 	['200', '207']	{'2'}
1	20150907	" Ich finde es besser, sich in Fragen zur Geschlechtergerechtigkeit an das Grundgesetz zu halten.


LUCIA ALEKNA-HANSEN"	"  finden gut Frage Geschlechtergerechtigkeit Grundgesetz halten 


 LUCIA ALEKNA-HANSEN "	['700', '706']	{'7'}
1	20150907	Um den Bau neuer Asylbewerberunterkünfte zu beschleunigen, plant die Bundesregierung, Bauvorschriften zu lockern.	Bau neu Asylbewerberunterkünfte beschleunigen planen Bundesregierung Bauvorschrifte lockern 	['200', '202', '800', '812']	{'8', '2'}
1	20150907	"Bundeskanzlerin Angela Merkel sagte:  ""Deutsche Gründlichkeit ist super, aber es wird jetzt deutsche Flexibilität gebraucht."""	Bundeskanzlerin Angela Merkel sagen   deutsch Gründlichkeit super deutsch Flexibilität brauchen 	['800', '812']	{'8'}
1	20150106	Die Bundesregierung hat angekündigt, das Asylrecht zu ändern, sodass Asylbewerber schon nach drei Monaten Wartefrist arbeiten dürfen.	Bundesregierung ankündigen Asylrecht ändern sodass Asylbewerber schon drei Monat Wartefrist arbeiten dürfen 	['600', '601']	{'6'}
1	20150930	Die Bundesregierung ist gefordert, die Vorrangprüfung auszusetzen, die ein faktisches Arbeitsverbot über 15 Monate bedeutet.	Bundesregierung fordern Vorrangprüfung aussetzen faktisch Arbeitsverbot Monat bedeuten 	['600', '603']	{'6'}
1	20150724	"""Wir wollen das Grenzsystem anders denken. Wir wollen es wegdenken."""	Grenzsystem denken wegdenken 	['100', '101']	{'1'}
1	20150812	Anstatt aufgrund der zahlreichen Kriege eine menschenwürdige Flüchtlingspolitik aufzubauen, werden mit immer mehr Geldern immer mehr Hindernisse zur Abwehr errichtet.	anstatt aufgrund zahlreich Krieg menschenwürdig Flüchtlingspolitik aufbauen immer mehr Geld immer mehr Hindernis Abwehr errichten 	['100', '104', '190']	{'1'}
1	20150406	"""Nehmt endlich unsere Sorgen ernst!""  heißt es auf dem Twitter-Account  ""Friedliches Tröglitz"""	Nehmt endlich Sorge ernst   heißen Twitter-Account   Friedlich Tröglitz 	['700', '712']	{'7'}
1	20150305	Um eine weitere Massenflucht zu vermeiden, forderte Hyseni Visa-Erleichterungen für die Bürger seines Landes.	weit Massenflucht vermeiden fordern Hyseni Visa-Erleichterung Bürger Land 	['100', '101', '600', '603']	{'6', '1'}
1	20150305	Kosovos Regierung fordert Visa-Erleichterungen für die Bürger ihres Landes, die sich wie eingesperrt fühlen	Kosovo Regierung fordern Visa-Erleichterung Bürger Land eingesperrt fühlen 	['100', '101', '600', '603']	{'6', '1'}
1	20150910	Zudem sollten an islamischen Privatschulen Plätze für Flüchtlingskinder geschaffen werden.	zudem sollen islamisch Privatschule Platz Flüchtlingskind schaffen 	['300', '301']	{'3'}
