token	label	f_x	f_y	f_xy	pmi	pmi_freq
Sachleistung	2	5185	27	24	1.847662288419563	6.08959348609912
Transitzone	2	5185	28	23	1.7687350298298923	5.89378684370404
Bleiberecht	2	5185	31	22	1.6225005729491162	5.571646206777084
Abschiebung	2	5185	78	39	1.2722981435160012	5.5430325520369434
abschieben	2	5185	62	32	1.3040468418305815	5.381976560628451
Erstaufnahmeeinrichtung	2	5185	33	20	1.4646700361634575	5.121229856498912
Wohnung	2	5185	28	18	1.5236125717969073	5.0769886835012965
unterbringen	2	5185	19	14	1.6600636745247648	4.887956191168988
Einrichtung	2	5185	27	16	1.4421971803113989	4.753246634917801
Asylbewerber	2	5185	127	47	0.9714058393274139	4.7056716225803275
statt	2	5185	47	22	1.2063401757242038	4.644587734411034
Taschengeld	2	5185	20	13	1.5346624079834923	4.59743770460623
abgelehnt	2	5185	24	14	1.4264488233432595	4.533331146821366
Unterbringung	2	5185	29	15	1.3061996951916826	4.398360786748556
Bargeld	2	5185	10	9	1.8600848084181203	4.28300355156825
verlassen	2	5185	15	10	1.5599802159677822	4.224504737567022
Kirchenasyl	2	5185	13	9	1.5977205439506292	4.098072282609263
Wohnraum	2	5185	13	9	1.5977205439506292	4.098072282609263
erhalten	2	5185	41	17	1.0850866014278548	4.029547293017592
möglich	2	5185	26	12	1.1922554358424649	3.884483307955628
Gebäude	2	5185	7	7	1.9654453240759466	3.824580003532694
Flüchtlingsunterkunft	2	5185	20	10	1.2722981435160012	3.811464610113712
sechs	2	5185	27	12	1.1545151078596179	3.805093454842693
Transitzon	2	5185	9	7	1.7141308957950405	3.7663305330122134
Gutschein	2	5185	9	7	1.7141308957950405	3.7663305330122134
Monat	2	5185	53	19	0.9395923896902653	3.7304560668223745
zurückschicken	2	5185	14	8	1.4058295361405238	3.710064741541268
konsequent	2	5185	10	7	1.6087703801372142	3.704330695354314
einrichten	2	5185	25	11	1.1444647720061163	3.6838899870237847
Rückführung	2	5185	18	9	1.2722981435160012	3.677414621642371
privat	2	5185	11	7	1.5134602003328894	3.6291190599467105
schnell	2	5185	167	47	0.6975991133692501	3.5703079457712366
direkt	2	5185	16	8	1.2722981435160012	3.5275594840390756
dezentral	2	5185	7	6	1.8112946442486884	3.5246166311730556
unterzubringen	2	5185	8	6	1.6777632516241656	3.488810602531129
Wohnungsbau	2	5185	9	6	1.5599802159677822	3.427626870682675
Ministerium	2	5185	9	6	1.5599802159677822	3.427626870682675
ehemalig	2	5185	10	6	1.454619700309956	3.349385637909171
Stadt	2	5185	27	10	0.9721935510656632	3.204191346493875
Anwohner	2	5185	6	5	1.783123767281992	3.1949288948331116
stehend	2	5185	6	5	1.783123767281992	3.1949288948331116
beschleunigen	2	5185	35	12	0.8950039123745333	3.1820504248862376
Fahrkarte	2	5185	7	5	1.6289730874547337	3.1698352634161346
leer	2	5185	5	5	1.9654453240759466	3.1632622193841553
Immobilie	2	5185	8	5	1.495441694830211	3.1096835833900403
Praxis	2	5185	8	5	1.495441694830211	3.1096835833900403
dorthin	2	5185	13	6	1.1922554358424649	3.0580748140941547
gewähren	2	5185	21	8	1.0003644280323596	3.0456319470448774
Landkreis	2	5185	9	5	1.3776586591738276	3.0270254651167963
künftig	2	5185	67	19	0.7051916838514211	2.9651142683459573
möglichst	2	5185	18	7	1.0209837152350951	2.951022495787419
Platz	2	5185	22	8	0.9538444123974666	2.948373572619187
Unterkunft	2	5185	26	9	0.9045733633906841	2.947187343649636
erhöhen	2	5185	10	5	1.2722981435160012	2.9295747391039435
Kirche	2	5185	15	6	1.0491545922017915	2.8411633043993687
Landesregierung	2	5185	11	5	1.1769879637116765	2.822293874324809
ausweiten	2	5185	11	5	1.1769879637116765	2.822293874324809
Erstaufnahmelager	2	5185	5	4	1.742301772761737	2.804126527983882
Ausreis	2	5185	5	4	1.742301772761737	2.804126527983882
Erstaufnahmestell	2	5185	5	4	1.742301772761737	2.804126527983882
Gemeinschaftsunterkünft	2	5185	6	4	1.5599802159677822	2.7951093237687
Residenzpflicht	2	5185	6	4	1.5599802159677822	2.7951093237687
Zustand	2	5185	6	4	1.5599802159677822	2.7951093237687
Balkan	2	5185	36	11	0.7798216584182072	2.794505681559897
Asylsuchender	2	5185	32	10	0.8022945142702657	2.7805409027257273
drei	2	5185	45	13	0.7237321917671635	2.755004187039321
Gesetz	2	5185	58	16	0.6775910357693085	2.751319785198397
Erstaufnahme	2	5185	7	4	1.4058295361405238	2.7356179622175683
subsidiär	2	5185	7	4	1.4058295361405238	2.7356179622175683
Erstaufnahmeeinrichtungen	2	5185	7	4	1.4058295361405238	2.7356179622175683
sorgen	2	5185	16	6	0.9846160710642203	2.7299354143687
Baden-Württemberg	2	5185	16	6	0.9846160710642203	2.7299354143687
bislang	2	5185	16	6	0.9846160710642203	2.7299354143687
sogenannter	2	5185	37	11	0.7524226842300926	2.71693654836629
außerdem	2	5185	42	12	0.7126823555805785	2.6637711879401524
Heim	2	5185	8	4	1.2722981435160012	2.6456696130293067
Bau	2	5185	17	6	0.9239914492477854	2.617864903802668
ermöglichen	2	5185	17	6	0.9239914492477854	2.617864903802668
Bayern	2	5185	43	12	0.6891518581703845	2.592038048680884
Ausbildung	2	5185	26	8	0.7867903277343005	2.5634388429399118
entstehen	2	5185	9	4	1.1545151078596179	2.5367289698951287
gering	2	5185	9	4	1.1545151078596179	2.5367289698951287
Aufnahmelager	2	5185	9	4	1.1545151078596179	2.5367289698951287
bleiben	2	5185	62	16	0.6108996612706362	2.521264997842442
zurück	2	5185	18	6	0.866833035407837	2.505469724354218
lang	2	5185	40	11	0.6744611427603808	2.4880058521269754
nennen	2	5185	27	8	0.7490499997514535	2.468746603661374
Idee	2	5185	23	7	0.7758612572021101	2.4327084843207345
bearbeiten	2	5185	10	4	1.0491545922017915	2.4157677242500926
Abschluss	2	5185	10	4	1.0491545922017915	2.4157677242500926
Berliner	2	5185	19	6	0.8127658141375612	2.3931393440805815
Asylantrag	2	5185	28	8	0.7126823555805785	2.374803359587892
Familie	2	5185	15	5	0.866833035407837	2.3474273758582322
geeignet	2	5185	5	3	1.454619700309956	2.341120093852372
absehbar	2	5185	5	3	1.454619700309956	2.341120093852372
Lockerung	2	5185	5	3	1.454619700309956	2.341120093852372
ersetzen	2	5185	5	3	1.454619700309956	2.341120093852372
August	2	5185	5	3	1.454619700309956	2.341120093852372
Aufnahmeeinrichtungen	2	5185	5	3	1.454619700309956	2.341120093852372
Registrierungszentr	2	5185	5	3	1.454619700309956	2.341120093852372
durchführen	2	5185	11	4	0.9538444123974666	2.2872190074730248
Innenministerium	2	5185	11	4	0.9538444123974666	2.2872190074730248
leben	2	5185	11	4	0.9538444123974666	2.2872190074730248
laut	2	5185	29	8	0.6775910357693085	2.281649469182208
Bewerber	2	5185	6	3	1.2722981435160012	2.27965224632607
Westbalkanstaat	2	5185	6	3	1.2722981435160012	2.27965224632607
Chemnitz	2	5185	6	3	1.2722981435160012	2.27965224632607
bayrisch	2	5185	6	3	1.2722981435160012	2.27965224632607
Verwaltungsgericht	2	5185	6	3	1.2722981435160012	2.27965224632607
Ulrich	2	5185	6	3	1.2722981435160012	2.27965224632607
Bewohner	2	5185	6	3	1.2722981435160012	2.27965224632607
schwierig	2	5185	6	3	1.2722981435160012	2.27965224632607
Tröglitzer	2	5185	6	3	1.2722981435160012	2.27965224632607
speziell	2	5185	6	3	1.2722981435160012	2.27965224632607
Brandenburg	2	5185	6	3	1.2722981435160012	2.27965224632607
schaffen	2	5185	96	22	0.49213958596642626	2.2462964291555876
Verfügung	2	5185	25	7	0.6924796482630592	2.229005999007196
zügig	2	5185	16	5	0.8022945142702657	2.2244327221805817
etwa	2	5185	58	14	0.5440596431447858	2.209123175327625
Reisebedarf	2	5185	7	3	1.118147463688743	2.1758144977323823
abfertigen	2	5185	7	3	1.118147463688743	2.1758144977323823
Einwohner	2	5185	7	3	1.118147463688743	2.1758144977323823
erschweren	2	5185	7	3	1.118147463688743	2.1758144977323823
Unterkünfte	2	5185	7	3	1.118147463688743	2.1758144977323823
drastisch	2	5185	12	4	0.866833035407837	2.1539991739408513
nein	2	5185	12	4	0.866833035407837	2.1539991739408513
beschleunigt	2	5185	12	4	0.866833035407837	2.1539991739408513
bisherig	2	5185	12	4	0.866833035407837	2.1539991739408513
Maizière	2	5185	89	20	0.47254122789779773	2.1210657417399386
Sachsen	2	5185	17	5	0.741669892453831	2.1013090361849325
sozial	2	5185	17	5	0.741669892453831	2.1013090361849325
Hamburg	2	5185	22	6	0.6661623399456857	2.0591360736006292
protestieren	2	5185	22	6	0.6661623399456857	2.0591360736006292
Nacht	2	5185	8	3	0.9846160710642203	2.047451560776525
zahlreich	2	5185	8	3	0.9846160710642203	2.047451560776525
Senat	2	5185	8	3	0.9846160710642203	2.047451560776525
lockern	2	5185	8	3	0.9846160710642203	2.047451560776525
Proviant	2	5185	8	3	0.9846160710642203	2.047451560776525
Aktivist	2	5185	8	3	0.9846160710642203	2.047451560776525
de	2	5185	81	18	0.4613679272996725	2.027457898115021
befürworten	2	5185	13	4	0.7867903277343005	2.0180773455790457
SPD	2	5185	149	31	0.39548622261563365	1.9789918227098235
Teil	2	5185	18	5	0.6845114786138823	1.9784926457413097
hart	2	5185	18	5	0.6845114786138823	1.9784926457413097
lehnen	2	5185	57	13	0.4873434137029331	1.9703544066424614
